7.8,"Animation,Action,Adventure",100 min,The Lego Movie,tt1490017
7.2,"Action,Crime,Thriller",132 min,The Equalizer,tt0455944
7.9,"Animation,Action,Adventure",102 min,How to Train Your Dragon 2,tt1646971
7.0,"Action,Mystery,Thriller",106 min,Non-Stop,tt2024469
6.2,"Action,Crime,Sci-Fi",117 min,RoboCop,tt1234721
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
7.2,"Action,Adventure,Sci-Fi",130 min,Iron Man 3,tt1300854
7.6,"Action,Adventure,Mystery",146 min,The Hunger Games: Catching Fire,tt1951264
7.0,"Action,Adventure,Horror",116 min,World War Z,tt0816711
8.1,"Biography,Drama,History",134 min,12 Years a Slave,tt2024544
7.1,"Action,Adventure,Fantasy",112 min,Thor: The Dark World,tt1981115
8.1,"Crime,Drama,Mystery",153 min,Prisoners,tt1392214
7.0,"Action,Adventure,Sci-Fi",131 min,Pacific Rim,tt1663662
8.0,"Drama,Romance,Sci-Fi",126 min,Her,tt1798709
6.6,"Action,Drama,Sci-Fi",109 min,Elysium,tt1535108
6.7,"Action,Adventure,Sci-Fi",126 min,The Wolverine,tt1430132
7.0,"Comedy,Crime",110 min,We're the Millers,tt1723121
6.7,"Comedy,Fantasy",107 min,This Is the End,tt1245492
7.1,"Action,Crime,Thriller",130 min,Fast & Furious 6,tt1905041
7.3,"Animation,Adventure,Comedy",104 min,Monsters University,tt1453405
5.9,"Comedy,Crime",100 min,The Hangover Part III,tt1951261
7.6,"Action,Biography,Drama",121 min,Lone Survivor,tt1091191
6.6,"Action,Comedy,Crime",103 min,Kick-Ass 2,tt1650554
7.0,"Action,Comedy,Sci-Fi",109 min,The World's End,tt1213663
6.9,"Comedy,Horror,Romance",98 min,Warm Bodies,tt1588173
8.5,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.5,"Drama,Western",165 min,Django Unchained,tt1853728
7.9,"Adventure,Fantasy",169 min,The Hobbit: An Unexpected Journey,tt0903624
7.8,"Action,Adventure,Thriller",143 min,Skyfall,tt1074638
7.0,"Adventure,Mystery,Sci-Fi",124 min,Prometheus,tt1446714
7.0,"Action,Adventure",136 min,The Amazing Spider-Man,tt0948470
7.4,"Action,Crime,Drama",119 min,Looper,tt1276104
8.0,"Drama,Romance",102 min,The Perks of Being a Wallflower,tt1659337
7.0,"Horror,Mystery,Thriller",95 min,The Cabin in the Woods,tt1259521
7.8,"Animation,Adventure,Comedy",101 min,Wreck-It Ralph,tt1772341
7.3,"Drama,Thriller",138 min,Flight,tt1907668
7.6,"Drama,Musical,Romance",158 min,Les Misérables,tt1707386
6.3,"Action,Crime,Thriller",92 min,Taken 2,tt1397280
6.7,"Action,Adventure,Mystery",135 min,The Bourne Legacy,tt1194173
7.4,"Drama,History,Thriller",157 min,Zero Dark Thirty,tt1790885
6.4,"Comedy,Romance",83 min,The Dictator,tt1645170
7.1,"Sci-Fi,Thriller",84 min,Chronicle,tt1706593
6.3,"Action,Adventure,Mystery",118 min,Total Recall,tt1386703
6.2,"Comedy,Fantasy,Horror",113 min,Dark Shadows,tt1077368
7.3,"Crime,Drama,Thriller",140 min,The Place Beyond the Pines,tt1817273
8.1,"Adventure,Drama,Fantasy",130 min,Harry Potter and the Deathly Hallows: Part 2,tt1201607
7.8,"Action,Adventure,Sci-Fi",132 min,X-Men: First Class,tt1270798
8.6,"Biography,Comedy,Drama",112 min,The Intouchables,tt1675434
7.4,"Mystery,Sci-Fi,Thriller",105 min,Limitless,tt1219289
7.5,"Mystery,Romance,Sci-Fi",93 min,Source Code,tt0945513
7.4,"Comedy,Drama,Romance",118 min,"Crazy, Stupid, Love.",tt1570728
7.4,"Action,Adventure,Thriller",133 min,Mission: Impossible - Ghost Protocol,tt1229238
7.5,"Action,Adventure,Crime",129 min,Sherlock Holmes: A Game of Shadows,tt1515091
7.8,"Crime,Drama,Mystery",158 min,The Girl with the Dragon Tattoo,tt1568346
8.1,Drama,146 min,The Help,tt1454029
7.7,"Comedy,Fantasy,Romance",94 min,Midnight in Paris,tt1605783
7.3,"Action,Crime,Thriller",131 min,Fast Five,tt1596343
6.6,"Comedy,Romance",109 min,Friends with Benefits,tt1632708
7.1,"Action,Drama,Family",127 min,Real Steel,tt0433035
5.6,"Action,Adventure,Sci-Fi",114 min,Green Lantern,tt1133985
6.9,"Action,Mystery,Thriller",113 min,Unknown,tt1401152
6.8,"Action,Adventure,Drama",117 min,The Grey,tt1601913
6.1,"Action,Fantasy",110 min,Sucker Punch,tt0978764
7.0,"Adventure,Comedy,Sci-Fi",104 min,Paul,tt1092026
7.1,Drama,101 min,The Ides of March,tt1124035
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.8,"Action,Adventure",118 min,Tomb Raider,tt1365519
6.8,"Action,Sci-Fi,Thriller",141 min,Maze Runner: The Death Cure,tt4500922
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
6.5,"Action,Crime,Drama",105 min,The Commuter,tt1590193
5.4,"Mystery,Sci-Fi,Thriller",126 min,Mute,tt1464763
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
6.4,"Action,Drama",94 min,Braven,tt5001754
7.0,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
6.9,"Biography,Comedy",101 min,A Futile and Stupid Gesture,tt5566790
5.1,"Drama,History,Thriller",94 min,The 15:17 to Paris,tt6802308
8.4,"Biography,Comedy,Drama",140 min,Padman,tt7218518
7.7,"Comedy,Romance",138 min,Sonu Ke Titu Ki Sweety,tt7581902
6.3,"Animation,Adventure,Comedy",89 min,Early Man,tt4701724
7.4,"Action,Comedy,Crime",138 min,Thaanaa Serndha Koottam,tt6237966
6.8,"Horror,Thriller",98 min,Unsane,tt7153766
5.0,"Action,Drama",86 min,Acts of Violence,tt6684714
